190 batches ====> Validation Accuracy 0.161, Validation OOV Accuracy 0.227, Validation Loss 2.932
200 batches ====> Validation Accuracy 0.161, Validation OOV Accuracy 0.228, Validation Loss 2.923
210 batches ====> Validation Accuracy 0.162, Validation OOV Accuracy 0.227, Validation Loss 2.906
220 batches ====> Validation Accuracy 0.162, Validation OOV Accuracy 0.228, Validation Loss 2.885
230 batches ====> Validation Accuracy 0.163, Validation OOV Accuracy 0.228, Validation Loss 2.859
240 batches ====> Validation Accuracy 0.168, Validation OOV Accuracy 0.228, Validation Loss 2.828
250 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.231, Validation Loss 2.792
260 batches ====> Validation Accuracy 0.169, Validation OOV Accuracy 0.229, Validation Loss 2.752
270 batches ====> Validation Accuracy 0.235, Validation OOV Accuracy 0.228, Validation Loss 2.712
280 batches ====> Validation Accuracy 0.201, Validation OOV Accuracy 0.229, Validation Loss 2.670
290 batches ====> Validation Accuracy 0.247, Validation OOV Accuracy 0.232, Validation Loss 2.626
300 batches ====> Validation Accuracy 0.238, Validation OOV Accuracy 0.288, Validation Loss 2.580
310 batches ====> Validation Accuracy 0.251, Validation OOV Accuracy 0.267, Validation Loss 2.535
320 batches ====> Validation Accuracy 0.260, Validation OOV Accuracy 0.301, Validation Loss 2.493
330 batches ====> Validation Accuracy 0.256, Validation OOV Accuracy 0.313, Validation Loss 2.454
340 batches ====> Validation Accuracy 0.291, Validation OOV Accuracy 0.374, Validation Loss 2.415
350 batches ====> Validation Accuracy 0.302, Validation OOV Accuracy 0.380, Validation Loss 2.377
360 batches ====> Validation Accuracy 0.315, Validation OOV Accuracy 0.380, Validation Loss 2.342
370 batches ====> Validation Accuracy 0.327, Validation OOV Accuracy 0.385, Validation Loss 2.307
380 batches ====> Validation Accuracy 0.326, Validation OOV Accuracy 0.382, Validation Loss 2.274
390 batches ====> Validation Accuracy 0.325, Validation OOV Accuracy 0.377, Validation Loss 2.242
400 batches ====> Validation Accuracy 0.344, Validation OOV Accuracy 0.385, Validation Loss 2.213
410 batches ====> Validation Accuracy 0.347, Validation OOV Accuracy 0.379, Validation Loss 2.183
420 batches ====> Validation Accuracy 0.359, Validation OOV Accuracy 0.386, Validation Loss 2.152
430 batches ====> Validation Accuracy 0.364, Validation OOV Accuracy 0.387, Validation Loss 2.121
440 batches ====> Validation Accuracy 0.367, Validation OOV Accuracy 0.385, Validation Loss 2.092
450 batches ====> Validation Accuracy 0.368, Validation OOV Accuracy 0.388, Validation Loss 2.063
460 batches ====> Validation Accuracy 0.368, Validation OOV Accuracy 0.383, Validation Loss 2.035
470 batches ====> Validation Accuracy 0.373, Validation OOV Accuracy 0.387, Validation Loss 2.007
480 batches ====> Validation Accuracy 0.374, Validation OOV Accuracy 0.388, Validation Loss 1.980
490 batches ====> Validation Accuracy 0.374, Validation OOV Accuracy 0.388, Validation Loss 1.954
500 batches ====> Validation Accuracy 0.384, Validation OOV Accuracy 0.387, Validation Loss 1.927
510 batches ====> Validation Accuracy 0.388, Validation OOV Accuracy 0.383, Validation Loss 1.902
520 batches ====> Validation Accuracy 0.411, Validation OOV Accuracy 0.381, Validation Loss 1.878
530 batches ====> Validation Accuracy 0.419, Validation OOV Accuracy 0.379, Validation Loss 1.855
540 batches ====> Validation Accuracy 0.444, Validation OOV Accuracy 0.377, Validation Loss 1.831m
550 batches ====> Validation Accuracy 0.454, Validation OOV Accuracy 0.379, Validation Loss 1.805
560 batches ====> Validation Accuracy 0.456, Validation OOV Accuracy 0.380, Validation Loss 1.778
570 batches ====> Validation Accuracy 0.482, Validation OOV Accuracy 0.378, Validation Loss 1.753
580 batches ====> Validation Accuracy 0.500, Validation OOV Accuracy 0.374, Validation Loss 1.728
590 batches ====> Validation Accuracy 0.510, Validation OOV Accuracy 0.377, Validation Loss 1.701
600 batches ====> Validation Accuracy 0.520, Validation OOV Accuracy 0.379, Validation Loss 1.674
610 batches ====> Validation Accuracy 0.529, Validation OOV Accuracy 0.378, Validation Loss 1.649
